city_name,year,month,pct_high_radiation
Anuradhapura,2011,9,100.0
Anuradhapura,2011,10,74.2
Anuradhapura,2011,11,46.7
Anuradhapura,2011,12,48.4
Anuradhapura,2012,1,87.1
Anuradhapura,2012,2,72.4
Anuradhapura,2012,3,100.0
Anuradhapura,2012,4,90.0
Anuradhapura,2012,5,100.0
Anuradhapura,2012,6,96.7
Anuradhapura,2012,7,96.8
Anuradhapura,2012,8,100.0
Anuradhapura,2012,9,100.0
Anuradhapura,2012,10,64.5
Anuradhapura,2012,11,60.0
Anuradhapura,2012,12,35.5
Anuradhapura,2013,1,48.4
Anuradhapura,2013,2,78.6
Anuradhapura,2013,3,96.8
Anuradhapura,2013,4,96.7
Anuradhapura,2013,5,93.5
Anuradhapura,2013,6,83.3
Anuradhapura,2013,7,100.0
Anuradhapura,2013,8,93.5
Anuradhapura,2013,9,83.3
Anuradhapura,2013,10,90.3
Anuradhapura,2013,11,70.0
Anuradhapura,2013,12,25.8
Anuradhapura,2014,1,41.9
Anuradhapura,2014,2,96.4
Anuradhapura,2014,3,96.8
Anuradhapura,2014,4,100.0
Anuradhapura,2014,5,90.3
Anuradhapura,2014,6,96.7
Anuradhapura,2014,7,96.8
Anuradhapura,2014,8,96.8
Anuradhapura,2014,9,96.7
Anuradhapura,2014,10,77.4
Anuradhapura,2014,11,36.7
Anuradhapura,2014,12,19.4
Anuradhapura,2015,1,77.4
Anuradhapura,2015,2,64.3
Anuradhapura,2015,3,93.5
Anuradhapura,2015,4,96.7
Anuradhapura,2015,5,96.8
Anuradhapura,2015,6,96.7
Anuradhapura,2015,7,90.3
Anuradhapura,2015,8,100.0
Anuradhapura,2015,9,86.7
Anuradhapura,2015,10,71.0
Anuradhapura,2015,11,43.3
Anuradhapura,2015,12,35.5
Anuradhapura,2016,1,67.7
Anuradhapura,2016,2,93.1
Anuradhapura,2016,3,100.0
Anuradhapura,2016,4,100.0
Anuradhapura,2016,5,77.4
Anuradhapura,2016,6,96.7
Anuradhapura,2016,7,93.5
Anuradhapura,2016,8,96.8
Anuradhapura,2016,9,96.7
Anuradhapura,2016,10,93.5
Anuradhapura,2016,11,46.7
Anuradhapura,2016,12,71.0
Anuradhapura,2017,1,67.7
Anuradhapura,2017,2,89.3
Anuradhapura,2017,3,93.5
Anuradhapura,2017,4,100.0
Anuradhapura,2017,5,83.9
Anuradhapura,2017,6,80.0
Anuradhapura,2017,7,100.0
Anuradhapura,2017,8,93.5
Anuradhapura,2017,9,80.0
Anuradhapura,2017,10,61.3
Anuradhapura,2017,11,30.0
Anuradhapura,2017,12,51.6
Anuradhapura,2018,1,71.0
Anuradhapura,2018,2,78.6
Anuradhapura,2018,3,93.5
Anuradhapura,2018,4,100.0
Anuradhapura,2018,5,71.0
Anuradhapura,2018,6,86.7
Anuradhapura,2018,7,96.8
Anuradhapura,2018,8,96.8
Anuradhapura,2018,9,96.7
Anuradhapura,2018,10,58.1
Anuradhapura,2018,11,33.3
Anuradhapura,2018,12,54.8
Anuradhapura,2019,1,83.9
Anuradhapura,2019,2,92.9
Anuradhapura,2019,3,100.0
Anuradhapura,2019,4,96.7
Anuradhapura,2019,5,100.0
Anuradhapura,2019,6,93.3
Anuradhapura,2019,7,93.5
Anuradhapura,2019,8,74.2
Anuradhapura,2019,9,90.0
Anuradhapura,2019,10,48.4
Anuradhapura,2019,11,70.0
Anuradhapura,2019,12,41.9
Anuradhapura,2020,1,96.8
Anuradhapura,2020,2,96.6
Anuradhapura,2020,3,96.8
Anuradhapura,2020,4,100.0
Anuradhapura,2020,5,80.6
Anuradhapura,2020,6,90.0
Anuradhapura,2020,7,87.1
Anuradhapura,2020,8,90.3
Anuradhapura,2020,9,76.7
Anuradhapura,2020,10,96.8
Anuradhapura,2020,11,60.0
Anuradhapura,2020,12,45.2
Anuradhapura,2021,1,45.2
Anuradhapura,2021,2,100.0
Anuradhapura,2021,3,100.0
Anuradhapura,2021,4,100.0
Anuradhapura,2021,5,83.9
Anuradhapura,2021,6,86.7
Anuradhapura,2021,7,96.8
Anuradhapura,2021,8,80.6
Anuradhapura,2021,9,86.7
Anuradhapura,2021,10,61.3
Anuradhapura,2021,11,26.7
Anuradhapura,2021,12,77.4
Anuradhapura,2022,1,83.9
Anuradhapura,2022,2,89.3
Anuradhapura,2022,3,93.5
Anuradhapura,2022,4,90.0
Anuradhapura,2022,5,100.0
Anuradhapura,2022,6,93.3
Anuradhapura,2022,7,93.5
Anuradhapura,2022,8,83.9
Anuradhapura,2022,9,93.3
Anuradhapura,2022,10,74.2
Anuradhapura,2022,11,56.7
Anuradhapura,2022,12,58.1
Anuradhapura,2023,1,83.9
Anuradhapura,2023,2,89.3
Anuradhapura,2023,3,100.0
Anuradhapura,2023,4,96.7
Anuradhapura,2023,5,77.4
Anuradhapura,2023,6,96.7
Anuradhapura,2023,7,83.9
Anuradhapura,2023,8,100.0
Anuradhapura,2023,9,93.3
Anuradhapura,2023,10,93.5
Anuradhapura,2023,11,36.7
Anuradhapura,2023,12,45.2
Anuradhapura,2024,1,64.5
Anuradhapura,2024,2,100.0
Anuradhapura,2024,3,100.0
Anuradhapura,2024,4,100.0
Anuradhapura,2024,5,77.4
Anuradhapura,2024,6,87.5
Badulla,2010,1,87.1
Badulla,2010,2,82.1
Badulla,2010,3,100.0
Badulla,2010,4,93.3
Badulla,2010,5,90.3
Badulla,2010,6,86.7
Badulla,2010,7,87.1
Badulla,2010,8,83.9
Badulla,2010,9,76.7
Badulla,2010,10,87.1
Badulla,2010,11,50.0
