City,Year,Month,TotalPrecipitation,MeanTemperature
Gampaha,2015,02,72.0,26.93928571428572
Gampaha,2012,03,177.0,26.94516129032259
Gampaha,2015,03,139.0,27.54838709677419
Gampaha,2012,02,103.0,26.448275862068964
Gampaha,2015,04,262.0,27.020000000000007
Gampaha,2012,12,223.0,25.593548387096778
Gampaha,2012,11,237.0,25.873333333333328
Gampaha,2012,10,389.0,25.983870967741936
Gampaha,2017,11,340.0,25.39666666666667
Gampaha,2017,10,522.0,25.93870967741936
Gampaha,2017,12,142.0,25.70645161290323
Gampaha,2012,01,56.0,25.825806451612905
Gampaha,2017,08,527.0,26.44516129032258
Gampaha,2017,07,498.0,26.90645161290323
Gampaha,2017,09,471.0,26.06333333333333
Gampaha,2018,10,417.0,25.53225806451612
Gampaha,2010,08,386.0,26.009677419354826
Gampaha,2010,09,438.0,25.840000000000007
Gampaha,2010,06,519.0,26.536666666666676
Gampaha,2010,07,424.0,26.216129032258063
Gampaha,2010,04,282.0,27.423333333333332
Gampaha,2018,11,364.0,25.553333333333335
Gampaha,2010,05,451.0,27.06451612903226
Gampaha,2018,12,111.0,25.65161290322581
Gampaha,2010,02,60.0,27.799999999999994
Gampaha,2010,03,114.0,28.58064516129032
Gampaha,2010,01,47.0,26.25161290322581
Gampaha,2013,02,106.0,26.53571428571429
Gampaha,2010,10,425.0,25.94838709677419
Gampaha,2013,01,78.0,25.641935483870967
Gampaha,2018,08,363.0,26.080645161290324
Gampaha,2018,09,302.0,26.479999999999997
Gampaha,2018,02,91.0,27.03571428571429
Gampaha,2018,03,195.0,26.70322580645162
Gampaha,2015,10,450.0,26.009677419354837
Gampaha,2015,11,362.0,25.863333333333333
Gampaha,2018,01,57.0,26.23870967741935
Gampaha,2015,12,271.0,26.183870967741946
Gampaha,2018,06,634.0,26.34333333333334
Gampaha,2018,07,436.0,26.377419354838704
Gampaha,2018,04,232.0,26.736666666666657
Gampaha,2018,05,484.0,26.261290322580646
