district,year,season,avg_evapotranspiration
Puttalam,2024,Apr-Aug,4.42
Puttalam,2024,Sep-Mar,4.79
Ratnapura,2010,Apr-Aug,3.17
Ratnapura,2010,Sep-Mar,3.42
Ratnapura,2011,Apr-Aug,3.36
Ratnapura,2011,Sep-Mar,3.37
Ratnapura,2012,Apr-Aug,3.4
Ratnapura,2012,Sep-Mar,3.56
Ratnapura,2013,Apr-Aug,3.32
Ratnapura,2013,Sep-Mar,3.46
Ratnapura,2014,Apr-Aug,3.39
Ratnapura,2014,Sep-Mar,3.6
Ratnapura,2015,Apr-Aug,3.49
Ratnapura,2015,Sep-Mar,3.53
Ratnapura,2016,Apr-Aug,3.42
Ratnapura,2016,Sep-Mar,3.82
Ratnapura,2017,Apr-Aug,3.12
Ratnapura,2017,Sep-Mar,3.45
Ratnapura,2018,Apr-Aug,3.04
Ratnapura,2018,Sep-Mar,3.6
Ratnapura,2019,Apr-Aug,3.27
Ratnapura,2019,Sep-Mar,3.5
Ratnapura,2020,Apr-Aug,3.34
Ratnapura,2020,Sep-Mar,3.67
Ratnapura,2021,Apr-Aug,3.21
Ratnapura,2021,Sep-Mar,3.39
Ratnapura,2022,Apr-Aug,3.19
Ratnapura,2022,Sep-Mar,3.67
Ratnapura,2023,Apr-Aug,3.57
Ratnapura,2023,Sep-Mar,3.44
Ratnapura,2024,Apr-Aug,3.74
Ratnapura,2024,Sep-Mar,4.42
Trincomalee,2010,Apr-Aug,5.51
Trincomalee,2010,Sep-Mar,4.29
Trincomalee,2011,Apr-Aug,5.81
Trincomalee,2011,Sep-Mar,3.99
Trincomalee,2012,Apr-Aug,6.32
Trincomalee,2012,Sep-Mar,4.33
Trincomalee,2013,Apr-Aug,5.8
Trincomalee,2013,Sep-Mar,4.34
Trincomalee,2014,Apr-Aug,5.99
Trincomalee,2014,Sep-Mar,4.12
Trincomalee,2015,Apr-Aug,5.75
Trincomalee,2015,Sep-Mar,4.02
Trincomalee,2016,Apr-Aug,5.77
Trincomalee,2016,Sep-Mar,4.77
Trincomalee,2017,Apr-Aug,5.91
Trincomalee,2017,Sep-Mar,4.07
Trincomalee,2018,Apr-Aug,5.55
Trincomalee,2018,Sep-Mar,3.99
Trincomalee,2019,Apr-Aug,5.88
Trincomalee,2019,Sep-Mar,4.09
Trincomalee,2020,Apr-Aug,5.34
Trincomalee,2020,Sep-Mar,4.32
Trincomalee,2021,Apr-Aug,5.31
Trincomalee,2021,Sep-Mar,4.07
Trincomalee,2022,Apr-Aug,5.29
Trincomalee,2022,Sep-Mar,4.16
Trincomalee,2023,Apr-Aug,5.7
Trincomalee,2023,Sep-Mar,4.11
Trincomalee,2024,Apr-Aug,5.01
Trincomalee,2024,Sep-Mar,4.63
Vavuniya,2010,Apr-Aug,4.87
Vavuniya,2010,Sep-Mar,3.92
Vavuniya,2011,Apr-Aug,5.17
Vavuniya,2011,Sep-Mar,3.67
Vavuniya,2012,Apr-Aug,5.72
Vavuniya,2012,Sep-Mar,4.03
Vavuniya,2013,Apr-Aug,5.21
Vavuniya,2013,Sep-Mar,3.97
Vavuniya,2014,Apr-Aug,5.45
Vavuniya,2014,Sep-Mar,3.77
Vavuniya,2015,Apr-Aug,4.99
Vavuniya,2015,Sep-Mar,3.66
Vavuniya,2016,Apr-Aug,5.11
Vavuniya,2016,Sep-Mar,4.39
Vavuniya,2017,Apr-Aug,5.37
Vavuniya,2017,Sep-Mar,3.8
Vavuniya,2018,Apr-Aug,5.15
Vavuniya,2018,Sep-Mar,3.92
Vavuniya,2019,Apr-Aug,5.52
Vavuniya,2019,Sep-Mar,3.98
Vavuniya,2020,Apr-Aug,4.89
Vavuniya,2020,Sep-Mar,4.18
Vavuniya,2021,Apr-Aug,4.93
Vavuniya,2021,Sep-Mar,3.83
Vavuniya,2022,Apr-Aug,4.83
Vavuniya,2022,Sep-Mar,3.99
Vavuniya,2023,Apr-Aug,5.44
Vavuniya,2023,Sep-Mar,3.94
Vavuniya,2024,Apr-Aug,4.88
Vavuniya,2024,Sep-Mar,4.72
