precipitation_hours,sunshine_duration,wind_speed_10m_max,et0_fao_evapotranspiration,prediction,residual
12,39173.98,12.8,3.56,3.93,-0.37
12,38978.98,13.0,3.68,3.93,-0.25
7,35594.25,12.7,3.7,4.0,-0.3
9,37702.71,14.3,3.13,3.9,-0.77
7,37099.77,15.7,4.0,3.98,0.02
14,32998.28,14.3,3.5,3.34,0.16
11,34375.02,17.3,3.96,3.56,0.4
8,40598.61,20.9,4.2,4.31,-0.11
0,40381.13,15.9,4.29,5.13,-0.84
5,39600.0,16.9,4.43,4.58,-0.15
9,40493.91,15.1,4.26,4.15,0.11
13,39831.03,12.6,3.56,4.05,-0.49
14,31607.82,16.9,2.94,3.32,-0.38
15,36918.83,14.9,3.64,3.66,-0.02
14,38785.06,16.6,3.76,3.79,-0.03
15,33562.46,17.3,3.24,3.38,-0.14
22,39714.29,17.0,3.47,3.69,-0.22
15,36452.01,17.5,3.72,3.55,0.17
12,38078.4,14.6,3.16,3.73,-0.57
15,34669.93,17.1,3.06,3.39,-0.33
18,31603.61,16.8,3.65,3.28,0.37
19,33183.36,18.3,2.92,3.12,-0.2
16,36542.16,15.8,3.02,3.49,-0.47
8,34460.89,12.9,4.02,3.89,0.13
11,39726.36,12.4,3.96,4.04,-0.08
13,39726.63,13.3,4.39,4.05,0.34
13,39939.77,11.5,4.35,4.09,0.26
12,39458.36,11.9,3.91,4.07,-0.16
11,34027.99,13.4,3.78,3.53,0.25
13,40048.0,13.3,4.21,4.19,0.02
18,31781.45,12.5,3.61,3.45,0.16
20,25829.66,14.1,2.51,2.84,-0.33
23,18659.01,11.6,2.96,2.58,0.38
24,9138.54,12.0,2.09,2.0,0.09
10,34260.24,13.2,3.56,3.84,-0.28
18,35459.61,17.7,3.75,3.43,0.32
16,32311.72,12.7,3.01,3.48,-0.47
14,35978.37,15.3,3.49,3.56,-0.07
21,35869.9,15.8,3.3,3.36,-0.06
20,36977.22,18.2,3.1,3.32,-0.22
18,36000.0,16.4,3.25,3.44,-0.19
20,33123.28,17.6,3.21,3.14,0.07
19,21980.57,18.5,2.92,2.73,0.19
20,35008.96,17.7,3.25,3.23,0.02
10,36087.38,19.9,3.57,3.72,-0.15
14,34763.88,21.8,3.21,3.44,-0.23
13,34683.38,18.7,3.26,3.54,-0.28
9,41065.39,17.8,4.17,4.27,-0.1
10,37222.22,15.5,3.34,3.82,-0.48
11,40732.41,18.4,3.85,3.93,-0.08
