precipitation_hours,sunshine_duration,wind_speed_10m_max,et0_fao_evapotranspiration,prediction,residual
23,2228.78,16.1,1.26,1.73,-0.47
23,5102.49,15.9,1.35,1.73,-0.38
23,0.0,23.3,1.45,1.74,-0.29
23,5018.49,13.0,1.78,1.74,0.04
23,710.12,13.4,1.32,1.74,-0.42
23,0.0,23.3,1.5,1.74,-0.24
22,4728.94,20.4,2.57,1.74,0.83
22,26.12,20.2,1.23,1.74,-0.51
22,0.0,17.4,1.15,1.74,-0.59
22,6273.72,19.7,1.8,1.74,0.06
19,0.0,20.1,1.14,1.74,-0.6
23,0.0,8.4,1.5,1.75,-0.25
20,0.0,10.6,1.52,1.75,-0.23
21,6759.68,9.8,1.92,1.75,0.17
21,6673.19,9.8,1.9,1.75,0.15
19,2867.6,18.7,1.53,1.76,-0.23
16,4876.5,19.2,1.21,1.76,-0.55
24,6438.13,33.4,1.34,1.76,-0.42
16,6858.96,19.6,1.41,1.76,-0.35
24,5692.81,34.8,1.16,1.76,-0.6
24,0.0,32.2,1.18,1.76,-0.58
24,0.0,32.2,1.11,1.76,-0.65
24,227.18,32.1,2.22,1.76,0.46
16,3482.35,19.5,1.42,1.76,-0.34
16,233.51,19.0,2.02,1.76,0.26
19,0.0,7.9,1.5,1.77,-0.27
24,2567.15,31.3,2.54,1.77,0.77
24,0.0,29.9,1.13,1.77,-0.64
23,7139.07,12.4,1.81,1.77,0.04
23,5087.72,12.6,1.8,1.77,0.03
19,7102.94,7.6,1.83,1.77,0.06
20,2088.79,20.0,1.29,1.78,-0.49
18,0.0,18.4,1.18,1.78,-0.6
18,1732.03,18.2,1.71,1.78,-0.07
21,5933.93,9.3,2.01,1.78,0.23
18,1457.01,20.0,1.4,1.79,-0.39
17,3386.44,18.8,1.37,1.79,-0.42
21,1730.69,25.1,1.88,1.8,0.08
17,356.62,21.7,1.26,1.8,-0.54
17,3600.0,17.8,1.29,1.8,-0.51
17,2781.27,22.1,1.21,1.8,-0.59
21,3600.0,14.2,1.25,1.8,-0.55
20,1932.6,8.7,1.84,1.81,0.03
19,1827.2,16.8,1.59,1.81,-0.22
21,586.05,11.5,1.32,1.81,-0.49
20,1936.07,8.7,1.82,1.81,0.01
18,7035.83,19.2,1.95,1.81,0.14
18,5284.57,21.4,2.66,1.81,0.85
17,5582.4,19.7,1.82,1.81,0.01
19,2840.13,10.8,1.46,1.81,-0.35
22,0.0,25.0,1.0,1.82,-0.82
21,7017.85,5.8,1.8,1.82,-0.02
18,0.0,17.4,1.12,1.82,-0.7
16,7157.84,18.4,2.07,1.82,0.25
18,5533.71,17.6,1.89,1.82,0.07
18,3777.6,22.5,1.64,1.82,-0.18
21,2598.81,12.0,1.79,1.82,-0.03
19,468.61,16.3,1.65,1.82,-0.17
20,805.2,18.5,2.45,1.83,0.62
22,868.84,14.8,2.25,1.83,0.42
21,0.0,12.6,1.36,1.83,-0.47
20,4588.52,18.5,1.6,1.83,-0.23
19,238.57,10.0,1.49,1.83,-0.34
21,5968.67,14.8,1.79,1.84,-0.05
16,5124.74,7.3,1.7,1.84,-0.14
16,2944.86,8.1,1.79,1.84,-0.05
16,0.0,7.8,1.64,1.84,-0.2
20,1257.54,17.4,2.01,1.85,0.16
20,1269.93,17.4,2.02,1.85,0.17
16,2720.87,20.9,2.14,1.85,0.29
18,6813.09,5.1,1.56,1.85,-0.29
17,5175.72,6.1,1.68,1.85,-0.17
20,5372.49,17.3,1.91,1.85,0.06
20,5415.95,17.3,1.84,1.85,-0.01
17,6077.85,17.4,2.08,1.85,0.23
18,228.27,5.8,1.57,1.85,-0.28
17,51.07,6.2,1.99,1.85,0.14
18,3416.2,10.7,2.24,1.85,0.39
18,2047.24,17.1,1.68,1.86,-0.18
17,1483.15,9.2,1.79,1.86,-0.07
16,699.18,9.2,1.65,1.86,-0.21
15,1161.64,18.8,1.7,1.86,-0.16
16,6996.2,10.4,2.05,1.86,0.19
16,3937.36,17.7,2.04,1.87,0.17
16,1082.05,16.9,2.13,1.87,0.26
24,2385.7,27.4,1.78,1.87,-0.09
24,0.0,26.9,1.65,1.87,-0.22
16,2287.39,17.1,1.84,1.87,-0.03
24,0.0,27.0,1.35,1.87,-0.52
24,1630.31,28.0,1.8,1.88,-0.08
24,1162.75,29.3,1.02,1.88,-0.86
24,0.0,29.5,1.46,1.88,-0.42
19,1027.19,15.3,1.63,1.89,-0.26
20,3337.61,13.1,1.69,1.89,-0.2
19,6773.73,13.1,1.68,1.89,-0.21
20,6653.5,13.3,1.67,1.89,-0.22
21,0.0,25.7,1.87,1.9,-0.03
15,3856.68,5.1,1.44,1.9,-0.46
19,0.0,11.3,1.44,1.9,-0.46
18,4238.32,12.1,1.66,1.91,-0.25
16,4557.47,14.2,1.44,1.91,-0.47
16,1010.71,10.1,1.71,1.91,-0.2
16,3611.22,9.7,2.21,1.91,0.3
20,4588.0,15.3,1.76,1.92,-0.16
16,3843.77,13.8,1.65,1.92,-0.27
15,4668.36,16.8,2.32,1.92,0.4
16,0.0,11.8,1.52,1.92,-0.4
16,4480.98,14.0,1.98,1.92,0.06
15,1434.15,16.8,1.63,1.92,-0.29
15,6847.5,17.6,1.9,1.93,-0.03
15,5593.17,8.9,2.16,1.93,0.23
15,2982.92,8.9,1.54,1.93,-0.39
18,6573.44,13.9,1.99,1.94,0.05
17,1288.95,11.2,1.81,1.94,-0.13
18,5531.36,14.8,1.98,1.95,0.03
18,7006.58,14.6,1.86,1.95,-0.09
18,2750.74,12.7,2.15,1.95,0.2
24,11040.28,25.8,2.13,1.95,0.18
18,5539.36,14.8,1.97,1.95,0.02
18,7013.49,14.6,1.82,1.95,-0.13
18,2771.48,12.7,2.15,1.95,0.2
24,11053.44,25.8,2.16,1.95,0.21
18,0.0,12.7,1.67,1.95,-0.28
17,1270.1,12.8,1.5,1.95,-0.45
24,8972.24,26.1,1.79,1.95,-0.16
24,8323.44,25.8,1.31,1.95,-0.64
24,1439.16,37.5,2.17,1.95,0.22
24,0.0,38.5,1.96,1.95,0.01
24,0.0,40.0,1.1,1.95,-0.85
24,0.0,37.4,1.12,1.95,-0.83
15,4658.68,11.5,2.06,1.96,0.1
24,10315.22,8.1,1.69,1.96,-0.27
17,5441.67,14.8,2.35,1.97,0.38
18,2331.49,15.8,2.19,1.97,0.22
18,2354.03,15.8,2.16,1.97,0.19
14,0.0,16.4,1.5,1.97,-0.47
14,0.0,16.5,1.47,1.97,-0.5
17,2199.93,14.8,1.26,1.97,-0.71
15,307.87,13.5,1.99,1.98,0.01
15,134.09,15.1,1.64,2.0,-0.36
24,10203.45,10.1,2.1,2.01,0.09
24,9782.64,9.0,1.62,2.01,-0.39
24,9619.72,10.5,2.21,2.01,0.2
24,12278.52,8.9,2.35,2.01,0.34
24,9658.01,10.1,2.07,2.01,0.06
24,9944.01,33.2,1.13,2.02,-0.89
24,10876.71,34.6,2.53,2.02,0.51
14,2780.74,15.5,1.37,2.03,-0.66
14,6280.56,10.8,1.77,2.04,-0.27
24,8870.82,14.0,1.84,2.05,-0.21
24,15751.15,31.8,1.55,2.05,-0.5
24,8673.62,13.7,1.87,2.05,-0.18
24,11482.0,13.9,1.55,2.05,-0.5
24,9138.54,12.0,2.09,2.06,0.03
24,8366.67,24.3,1.83,2.06,-0.23
24,9148.56,12.0,2.1,2.06,0.04
24,13330.28,24.4,2.33,2.06,0.27
24,14804.9,24.8,1.77,2.06,-0.29
12,0.0,16.4,1.38,2.06,-0.68
24,8088.31,11.2,1.77,2.06,-0.29
24,11920.71,13.4,2.05,2.06,-0.01
24,14246.78,11.3,2.49,2.06,0.43
24,8283.39,14.1,2.23,2.07,0.16
24,7537.34,14.1,1.94,2.07,-0.13
20,7570.3,8.7,1.81,2.08,-0.27
24,12757.62,15.9,2.24,2.08,0.16
24,8412.48,15.9,2.09,2.08,0.01
20,7607.05,8.7,1.8,2.08,-0.28
24,9950.25,15.6,1.82,2.08,-0.26
22,14735.48,10.4,2.01,2.08,-0.07
14,5873.69,7.0,1.92,2.08,-0.16
20,8279.24,9.0,1.93,2.08,-0.15
22,10898.6,10.7,2.03,2.08,-0.05
22,10904.72,10.3,2.27,2.08,0.19
24,7179.1,14.8,1.86,2.09,-0.23
14,6566.5,9.9,2.53,2.09,0.44
23,14533.82,10.5,2.22,2.09,0.13
24,10412.75,16.4,2.36,2.1,0.26
24,12019.72,16.4,2.23,2.1,0.13
23,10490.43,9.2,2.0,2.1,-0.1
24,12228.69,16.3,2.28,2.1,0.18
24,12209.2,16.3,2.27,2.1,0.17
24,8303.38,15.4,2.22,2.1,0.12
23,10800.0,8.4,1.72,2.1,-0.38
23,8415.52,8.9,2.08,2.1,-0.02
22,12910.49,8.8,1.97,2.1,-0.13
24,9287.28,15.5,1.81,2.1,-0.29
24,10976.0,17.3,1.88,2.11,-0.23
24,7990.0,21.0,2.04,2.11,-0.07
23,962.17,28.0,1.8,2.11,-0.31
24,11029.43,17.3,1.87,2.11,-0.24
24,9672.87,17.7,2.37,2.11,0.26
24,12535.62,17.3,2.36,2.11,0.25
23,8824.09,16.2,1.92,2.11,-0.19
12,3112.1,17.2,1.88,2.11,-0.23
23,10556.39,16.4,1.83,2.11,-0.28
23,7855.09,16.5,1.72,2.11,-0.39
12,549.81,18.3,1.85,2.11,-0.26
24,15755.76,20.9,2.65,2.11,0.54
21,8603.72,16.2,1.72,2.12,-0.4
24,8967.09,16.9,2.3,2.12,0.18
24,12096.86,17.9,2.21,2.12,0.09
24,7538.07,18.2,1.99,2.12,-0.13
21,8644.25,16.2,1.84,2.12,-0.28
21,1921.86,27.8,1.87,2.12,-0.25
24,9258.41,16.8,2.04,2.12,-0.08
20,10896.03,9.7,1.88,2.12,-0.24
23,14358.02,15.7,2.17,2.12,0.05
24,9793.47,16.8,1.98,2.12,-0.14
22,8536.23,16.1,1.91,2.13,-0.22
24,11110.38,22.8,2.31,2.13,0.18
24,8292.96,23.1,2.18,2.13,0.05
24,10615.42,21.9,2.47,2.13,0.34
24,10800.0,22.4,2.05,2.13,-0.08
24,9271.08,22.2,2.03,2.13,-0.1
10,3995.77,9.5,1.61,2.13,-0.52
24,10795.13,21.3,2.19,2.13,0.06
24,10353.34,19.2,2.05,2.14,-0.09
