Model,RMSE,MAE,R2
Linear Regression,0.575407488097142,0.4359737309649818,0.7719355463441453
Random Forest,0.4851546583270148,0.37459126489834366,0.8378686518983411
GBT,0.48918286195350125,0.37572849317406637,0.8351651453528055
